LogMessage,LogStatement,LogTemplate,LogTemplate_fromLS
"17/06/09 20:10:40 INFO executor.CoarseGrainedExecutorBackend: Registered signal handlers for [TERM, HUP, INT]
","logInfo(""Registered signal handlers for [TERM, HUP, INT]"")","Registered signal handlers for [TERM, HUP, INT]","Registered signal handlers for [TERM, HUP, INT]"
"17/06/09 20:10:40 INFO spark.SecurityManager: Changing view acls to: yarn,curi
","logInfo(""Changing view acls to: $users"")",Changing view acls to: <*>,Changing view acls to: <*>
"17/06/09 20:10:40 INFO spark.SecurityManager: Changing modify acls to: yarn,curi
","logInfo(""Changing modify acls to: $users"")",Changing modify acls to: <*>,Changing modify acls to: <*>
"17/06/09 20:10:40 INFO spark.SecurityManager: SecurityManager: authentication disabled; ui acls disabled; users with view permissions: Set(yarn, curi); users with modify permissions: Set(yarn, curi)
","logInfo(""SecurityManager: authentication disabled; ui acls disabled; users with view permissions: Set(yarn, curi); users with modify permissions: Set(yarn, curi)"")","SecurityManager: authentication disabled; ui acls disabled; users with view permissions: Set(yarn, curi); users with modify permissions: Set(yarn, curi)","SecurityManager: authentication disabled; ui acls disabled; users with view permissions: Set(yarn, curi); users with modify permissions: Set(yarn, curi)"
"17/06/09 20:10:41 INFO spark.SecurityManager: Changing view acls to: yarn,curi
","logInfo(""Changing view acls to: $users"")",Changing view acls to: <*>,Changing view acls to: <*>
"17/06/09 20:10:41 INFO spark.SecurityManager: Changing modify acls to: yarn,curi
","logInfo(""Changing modify acls to: $users"")",Changing modify acls to: <*>,Changing modify acls to: <*>
"17/06/09 20:10:41 INFO spark.SecurityManager: SecurityManager: authentication disabled; ui acls disabled; users with view permissions: Set(yarn, curi); users with modify permissions: Set(yarn, curi)
","logInfo(""SecurityManager: authentication disabled; ui acls disabled; users with view permissions: Set(yarn, curi); users with modify permissions: Set(yarn, curi)"")","SecurityManager: authentication disabled; ui acls disabled; users with view permissions: Set(yarn, curi); users with modify permissions: Set(yarn, curi)","SecurityManager: authentication disabled; ui acls disabled; users with view permissions: Set(yarn, curi); users with modify permissions: Set(yarn, curi)"
"17/06/09 20:10:41 INFO slf4j.Slf4jLogger: Slf4jLogger started
","logInfo(""Slf4jLogger started"")",Slf4jLogger started,Slf4jLogger started
"17/06/09 20:10:41 INFO Remoting: Starting remoting
","logInfo(""Starting remoting"")",Starting remoting,Starting remoting
"17/06/09 20:10:41 INFO Remoting: Remoting started; listening on addresses :[akka.tcp://sparkExecutorActorSystem@mesos-slave-07:55904]
","logInfo(""Remoting started; listening on addresses :[akka.tcp://sparkExecutorActorSystem@mesos-slave-07:55904]"")",Remoting started; listening on addresses :[<*>],Remoting started; listening on addresses :[akka.tcp://sparkExecutorActorSystem@mesos-slave-07:55904]
